latitude	longitude	name	parsed
42.0667652	-71.3281114	North Wrentham	Wrentham, MA, USA
41.8834363	-70.7625376	Carver	Carver, MA, USA
42.1014831	-72.589811	Springfield	Springfield, MA, USA
42.4603719	-71.3489484	Concord	Concord, MA, USA
42.4834197	-71.5167139	Boxborough	Boxborough, MA, USA
42.2792551	-72.978712	Chester	Chester, MA, USA
42.2418172	-70.889759	Hingham	Hingham, MA, USA
42.125	-71.102778	Stoughton	Stoughton, MA, USA
42.4407187	-72.7993986	Goshen	Goshen, MA, USA
42.4737009	-72.0061877	Hubbardston	Hubbardston, MA, USA
42.0751065	-72.0333905	Southbridge	Southbridge, MA, USA
42.6791832	-70.8411558	Ipswich	Ipswich, MA, USA
42.6556505	-70.620363	Rockport	Rockport, MA, USA
42.2685574	-72.08503999999999	North Brookfield	North Brookfield, MA, USA
41.7695425	-71.12861939999999	Somerset	Somerset, MA, USA
41.94454409999999	-71.2856082	Attleboro	Attleboro, MA, USA
42.3917638	-71.0328284	Chelsea	Chelsea, MA, USA
42.5000919	-71.5828444	Harvard	Harvard, MA, USA
42.3782065	-71.0602131	Charlestown	Charlestown, Boston, MA, USA
42.6871009	-72.0439529	Winchendon	Winchendon, MA, USA
42.0653768	-71.2478308	Foxborough	Foxborough, Foxborough, MA 02035, USA
42.3195556	-71.6411997	Northborough	Northborough, MA, USA
42.2495321	-71.0661653	Milton	Milton, MA, USA
42.1584324	-71.1447732	Canton	Canton, MA, USA
42.5250906	-71.759794	Leominster	Leominster, MA, USA
42.43342579999999	-71.6078449	Bolton	Bolton, MA, USA
42.4430372	-71.2289641	Lexington	Lexington, MA, USA
42.3600825	-71.0588801	Boston, Massachusetts	Boston, MA, USA
42.4072107	-71.3824374	Massachusetts	Massachusetts, USA
42.587915	-72.5994104	Greenfield	Greenfield, MA, USA
42.2353463	-72.14116419999999	West Brookfield	West Brookfield, MA, USA
42.543138	-73.32371820000002	Hancock	Hancock, MA, USA
42.5620278	-73.162881	Cheshire	Cheshire, MA, USA
42.4584292	-71.0661633	Melrose	Melrose, MA, USA
42.577834	-70.7675967	Manchester	Manchester-by-the-Sea, MA, USA
42.35271050000001	-72.0449783	Oakham	Oakham, MA, USA
42.4250964	-71.066163	Malden	Malden, MA, USA
42.4072107	-71.3824374	Peterstrom	Massachusetts, USA
42.66675	-73.01121169999999	Florida	Florida, MA, USA
28.5055159	-81.3305086	Dovers	Massachusetts Street, Orlando, FL 32812, USA
42.3459271	-71.5522874	Marlborough	Marlborough, MA, USA
42.4072107	-71.3824374	Fitchburg and vicinity	Massachusetts, USA
42.2125423	-72.19118499999999	Warren	Warren, MA, USA
42.84172299999999	-70.8605982	Salisbury	Salisbury, MA, USA
42.1167606	-71.8647577	Oxford	Oxford, MA, USA
42.2612067	-71.4633956	Ashland	Ashland, MA, USA
42.6703687	-71.3020052	Dracut	Dracut, MA, USA
42.41676349999999	-71.68290809999999	Clinton	Clinton, MA, USA
42.0189894	-71.00782149999999	West Bridgewater	West Bridgewater, MA, USA
42.4374156	-71.76062929999999	Sterling	Sterling, MA, USA
42.4906231	-71.2760089	Bedford	Bedford, MA, USA
42.3931455	-72.40369609999999	Pelham	Pelham, MA, USA
42.35	-72.2	Hardwick	Hardwick, MA, USA
42.6959093	-72.4528885	Northfield	Northfield, MA, USA
42.1516323	-71.6494407	Northbridge	Northbridge, MA, USA
42.4736959	-73.1662138	Dalton	Dalton, MA, USA
42.1500353	-71.7632878	Sutton	Sutton, MA, USA
42.6242251	-73.1174344	Adams	Adams, MA, USA
42.279286	-71.4161565	Framingham	Framingham, MA, USA
41.638889	-71.05	Westport	Westport, MA, USA
42.4556452	-71.6731242	Lancaster	Lancaster, MA, USA
42.5945273	-71.7245035	Lunenburg	Lunenburg, MA, USA
42.5264745	-72.788426	Ashfield	Ashfield, MA, USA
42.0695393	-72.22230069999999	Wales	Wales, MA, USA
41.9667703	-71.1869963	Norton	Norton, MA, USA
42.7000837	-72.6300909	Leyden	Leyden, MA, USA
